"yr","cluster_id","full_name","n_pubs","n_cits","country","field","cum_cit","cum_pub","total_cit","total_pub","cum_pct_cit","cum_pct_pub"
1980,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1981,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1982,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1983,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1984,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1985,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1986,700227,"gaston, kj",0,0,"United Kingdom","Biology",0,0,45853,602,0,0
1987,700227,"gaston, kj",1,0,"United Kingdom","Biology",0,1,45853,602,0,0.002
1988,700227,"gaston, kj",4,4,"United Kingdom","Biology",4,5,45853,602,0,0.008
1989,700227,"gaston, kj",3,14,"United Kingdom","Biology",18,8,45853,602,0,0.013
1990,700227,"gaston, kj",5,34,"United Kingdom","Biology",52,13,45853,602,0.001,0.022
1991,700227,"gaston, kj",6,42,"United Kingdom","Biology",94,19,45853,602,0.002,0.032
1992,700227,"gaston, kj",7,73,"United Kingdom","Biology",167,26,45853,602,0.004,0.043
1993,700227,"gaston, kj",10,86,"United Kingdom","Biology",253,36,45853,602,0.006,0.06
1994,700227,"gaston, kj",14,141,"United Kingdom","Biology",394,50,45853,602,0.009,0.083
1995,700227,"gaston, kj",15,137,"United Kingdom","Biology",531,65,45853,602,0.012,0.108
1996,700227,"gaston, kj",20,283,"United Kingdom","Biology",814,85,45853,602,0.018,0.141
1997,700227,"gaston, kj",22,309,"United Kingdom","Biology",1123,107,45853,602,0.024,0.178
1998,700227,"gaston, kj",21,448,"United Kingdom","Biology",1571,128,45853,602,0.034,0.213
1999,700227,"gaston, kj",20,527,"United Kingdom","Biology",2098,148,45853,602,0.046,0.246
2000,700227,"gaston, kj",20,561,"United Kingdom","Biology",2659,168,45853,602,0.058,0.279
2001,700227,"gaston, kj",13,535,"United Kingdom","Biology",3194,181,45853,602,0.07,0.301
2002,700227,"gaston, kj",28,705,"United Kingdom","Biology",3899,209,45853,602,0.085,0.347
2003,700227,"gaston, kj",22,807,"United Kingdom","Biology",4706,231,45853,602,0.103,0.384
2004,700227,"gaston, kj",24,876,"United Kingdom","Biology",5582,255,45853,602,0.122,0.424
2005,700227,"gaston, kj",33,1092,"United Kingdom","Biology",6674,288,45853,602,0.146,0.478
2006,700227,"gaston, kj",24,1338,"United Kingdom","Biology",8012,312,45853,602,0.175,0.518
2007,700227,"gaston, kj",24,1599,"United Kingdom","Biology",9611,336,45853,602,0.21,0.558
2008,700227,"gaston, kj",24,1651,"United Kingdom","Biology",11262,360,45853,602,0.246,0.598
2009,700227,"gaston, kj",42,1859,"United Kingdom","Biology",13121,402,45853,602,0.286,0.668
2010,700227,"gaston, kj",19,2044,"United Kingdom","Biology",15165,421,45853,602,0.331,0.699
2011,700227,"gaston, kj",19,2381,"United Kingdom","Biology",17546,440,45853,602,0.383,0.731
2012,700227,"gaston, kj",19,2521,"United Kingdom","Biology",20067,459,45853,602,0.438,0.762
2013,700227,"gaston, kj",22,2729,"United Kingdom","Biology",22796,481,45853,602,0.497,0.799
2014,700227,"gaston, kj",23,2937,"United Kingdom","Biology",25733,504,45853,602,0.561,0.837
2015,700227,"gaston, kj",31,3414,"United Kingdom","Biology",29147,535,45853,602,0.636,0.889
2016,700227,"gaston, kj",21,3478,"United Kingdom","Biology",32625,556,45853,602,0.712,0.924
2017,700227,"gaston, kj",19,4006,"United Kingdom","Biology",36631,575,45853,602,0.799,0.955
2018,700227,"gaston, kj",24,4544,"United Kingdom","Biology",41175,599,45853,602,0.898,0.995
2019,700227,"gaston, kj",3,4678,"United Kingdom","Biology",45853,602,45853,602,1,1
1980,3361896,"bollerslev, t",0,0,"Denmark","Economics",0,0,19941,76,0,0
1981,3361896,"bollerslev, t",0,0,"Denmark","Economics",0,0,19941,76,0,0
1982,3361896,"bollerslev, t",0,0,"Denmark","Economics",0,0,19941,76,0,0
1983,3361896,"bollerslev, t",0,0,"Denmark","Economics",0,0,19941,76,0,0
1984,3361896,"bollerslev, t",0,0,"Denmark","Economics",0,0,19941,76,0,0
1985,3361896,"bollerslev, t",1,0,"Denmark","Economics",0,1,19941,76,0,0.013
1986,3361896,"bollerslev, t",1,0,"Denmark","Economics",0,2,19941,76,0,0.026
1987,3361896,"bollerslev, t",1,2,"Denmark","Economics",2,3,19941,76,0,0.039
1988,3361896,"bollerslev, t",1,12,"Denmark","Economics",14,4,19941,76,0.001,0.053
1989,3361896,"bollerslev, t",2,44,"Denmark","Economics",58,6,19941,76,0.003,0.079
1990,3361896,"bollerslev, t",2,51,"Denmark","Economics",109,8,19941,76,0.005,0.105
1991,3361896,"bollerslev, t",1,87,"Denmark","Economics",196,9,19941,76,0.01,0.118
1992,3361896,"bollerslev, t",2,131,"Denmark","Economics",327,11,19941,76,0.016,0.145
1993,3361896,"bollerslev, t",3,156,"Denmark","Economics",483,14,19941,76,0.024,0.184
1994,3361896,"bollerslev, t",3,135,"Denmark","Economics",618,17,19941,76,0.031,0.224
1995,3361896,"bollerslev, t",1,201,"Denmark","Economics",819,18,19941,76,0.041,0.237
1996,3361896,"bollerslev, t",3,254,"Denmark","Economics",1073,21,19941,76,0.054,0.276
1997,3361896,"bollerslev, t",2,223,"Denmark","Economics",1296,23,19941,76,0.065,0.303
1998,3361896,"bollerslev, t",3,293,"Denmark","Economics",1589,26,19941,76,0.08,0.342
1999,3361896,"bollerslev, t",2,247,"Denmark","Economics",1836,28,19941,76,0.092,0.368
2000,3361896,"bollerslev, t",2,314,"Denmark","Economics",2150,30,19941,76,0.108,0.395
2001,3361896,"bollerslev, t",6,395,"Denmark","Economics",2545,36,19941,76,0.128,0.474
2002,3361896,"bollerslev, t",3,401,"Denmark","Economics",2946,39,19941,76,0.148,0.513
2003,3361896,"bollerslev, t",3,387,"Denmark","Economics",3333,42,19941,76,0.167,0.553
2004,3361896,"bollerslev, t",2,404,"Denmark","Economics",3737,44,19941,76,0.187,0.579
2005,3361896,"bollerslev, t",2,508,"Denmark","Economics",4245,46,19941,76,0.213,0.605
2006,3361896,"bollerslev, t",2,737,"Denmark","Economics",4982,48,19941,76,0.25,0.632
2007,3361896,"bollerslev, t",4,700,"Denmark","Economics",5682,52,19941,76,0.285,0.684
2008,3361896,"bollerslev, t",1,964,"Denmark","Economics",6646,53,19941,76,0.333,0.697
2009,3361896,"bollerslev, t",2,963,"Denmark","Economics",7609,55,19941,76,0.382,0.724
2010,3361896,"bollerslev, t",2,941,"Denmark","Economics",8550,57,19941,76,0.429,0.75
2011,3361896,"bollerslev, t",5,1082,"Denmark","Economics",9632,62,19941,76,0.483,0.816
2012,3361896,"bollerslev, t",1,1072,"Denmark","Economics",10704,63,19941,76,0.537,0.829
2013,3361896,"bollerslev, t",2,1161,"Denmark","Economics",11865,65,19941,76,0.595,0.855
2014,3361896,"bollerslev, t",3,1251,"Denmark","Economics",13116,68,19941,76,0.658,0.895
2015,3361896,"bollerslev, t",2,1412,"Denmark","Economics",14528,70,19941,76,0.729,0.921
2016,3361896,"bollerslev, t",3,1393,"Denmark","Economics",15921,73,19941,76,0.798,0.961
2017,3361896,"bollerslev, t",0,1220,"Denmark","Economics",17141,73,19941,76,0.86,0.961
2018,3361896,"bollerslev, t",3,1257,"Denmark","Economics",18398,76,19941,76,0.923,1
2019,3361896,"bollerslev, t",0,1543,"Denmark","Economics",19941,76,19941,76,1,1
1980,3454001,"besenbacher, f",6,3,"Denmark","Physics",3,6,42551,703,0,0.009
1981,3454001,"besenbacher, f",4,21,"Denmark","Physics",24,10,42551,703,0.001,0.014
1982,3454001,"besenbacher, f",6,49,"Denmark","Physics",73,16,42551,703,0.002,0.023
1983,3454001,"besenbacher, f",1,68,"Denmark","Physics",141,17,42551,703,0.003,0.024
1984,3454001,"besenbacher, f",3,77,"Denmark","Physics",218,20,42551,703,0.005,0.028
1985,3454001,"besenbacher, f",4,74,"Denmark","Physics",292,24,42551,703,0.007,0.034
1986,3454001,"besenbacher, f",4,125,"Denmark","Physics",417,28,42551,703,0.01,0.04
1987,3454001,"besenbacher, f",3,136,"Denmark","Physics",553,31,42551,703,0.013,0.044
1988,3454001,"besenbacher, f",3,82,"Denmark","Physics",635,34,42551,703,0.015,0.048
1989,3454001,"besenbacher, f",5,140,"Denmark","Physics",775,39,42551,703,0.018,0.055
1990,3454001,"besenbacher, f",10,106,"Denmark","Physics",881,49,42551,703,0.021,0.07
1991,3454001,"besenbacher, f",8,162,"Denmark","Physics",1043,57,42551,703,0.025,0.081
1992,3454001,"besenbacher, f",7,186,"Denmark","Physics",1229,64,42551,703,0.029,0.091
1993,3454001,"besenbacher, f",9,221,"Denmark","Physics",1450,73,42551,703,0.034,0.104
1994,3454001,"besenbacher, f",11,316,"Denmark","Physics",1766,84,42551,703,0.042,0.119
1995,3454001,"besenbacher, f",11,328,"Denmark","Physics",2094,95,42551,703,0.049,0.135
1996,3454001,"besenbacher, f",10,395,"Denmark","Physics",2489,105,42551,703,0.058,0.149
1997,3454001,"besenbacher, f",9,426,"Denmark","Physics",2915,114,42551,703,0.069,0.162
1998,3454001,"besenbacher, f",10,453,"Denmark","Physics",3368,124,42551,703,0.079,0.176
1999,3454001,"besenbacher, f",10,479,"Denmark","Physics",3847,134,42551,703,0.09,0.191
2000,3454001,"besenbacher, f",9,476,"Denmark","Physics",4323,143,42551,703,0.102,0.203
2001,3454001,"besenbacher, f",16,560,"Denmark","Physics",4883,159,42551,703,0.115,0.226
2002,3454001,"besenbacher, f",15,567,"Denmark","Physics",5450,174,42551,703,0.128,0.248
2003,3454001,"besenbacher, f",11,664,"Denmark","Physics",6114,185,42551,703,0.144,0.263
2004,3454001,"besenbacher, f",13,701,"Denmark","Physics",6815,198,42551,703,0.16,0.282
2005,3454001,"besenbacher, f",24,823,"Denmark","Physics",7638,222,42551,703,0.18,0.316
2006,3454001,"besenbacher, f",29,851,"Denmark","Physics",8489,251,42551,703,0.2,0.357
2007,3454001,"besenbacher, f",37,1107,"Denmark","Physics",9596,288,42551,703,0.226,0.41
2008,3454001,"besenbacher, f",43,1374,"Denmark","Physics",10970,331,42551,703,0.258,0.471
2009,3454001,"besenbacher, f",54,1740,"Denmark","Physics",12710,385,42551,703,0.299,0.548
2010,3454001,"besenbacher, f",62,2097,"Denmark","Physics",14807,447,42551,703,0.348,0.636
2011,3454001,"besenbacher, f",49,2267,"Denmark","Physics",17074,496,42551,703,0.401,0.706
2012,3454001,"besenbacher, f",43,2639,"Denmark","Physics",19713,539,42551,703,0.463,0.767
2013,3454001,"besenbacher, f",37,2976,"Denmark","Physics",22689,576,42551,703,0.533,0.819
2014,3454001,"besenbacher, f",47,3233,"Denmark","Physics",25922,623,42551,703,0.609,0.886
2015,3454001,"besenbacher, f",28,3160,"Denmark","Physics",29082,651,42551,703,0.683,0.926
2016,3454001,"besenbacher, f",24,3376,"Denmark","Physics",32458,675,42551,703,0.763,0.96
2017,3454001,"besenbacher, f",9,3252,"Denmark","Physics",35710,684,42551,703,0.839,0.973
2018,3454001,"besenbacher, f",17,3348,"Denmark","Physics",39058,701,42551,703,0.918,0.997
2019,3454001,"besenbacher, f",2,3493,"Denmark","Physics",42551,703,42551,703,1,1
1980,6816065,"pesaran, mh",0,0,"United Kingdom","Economics",0,0,16962,154,0,0
1981,6816065,"pesaran, mh",3,0,"United Kingdom","Economics",0,3,16962,154,0,0.019
1982,6816065,"pesaran, mh",4,2,"United Kingdom","Economics",2,7,16962,154,0,0.045
1983,6816065,"pesaran, mh",1,13,"United Kingdom","Economics",15,8,16962,154,0.001,0.052
1984,6816065,"pesaran, mh",3,14,"United Kingdom","Economics",29,11,16962,154,0.002,0.071
1985,6816065,"pesaran, mh",3,21,"United Kingdom","Economics",50,14,16962,154,0.003,0.091
1986,6816065,"pesaran, mh",2,36,"United Kingdom","Economics",86,16,16962,154,0.005,0.104
1987,6816065,"pesaran, mh",0,19,"United Kingdom","Economics",105,16,16962,154,0.006,0.104
1988,6816065,"pesaran, mh",3,27,"United Kingdom","Economics",132,19,16962,154,0.008,0.123
1989,6816065,"pesaran, mh",3,27,"United Kingdom","Economics",159,22,16962,154,0.009,0.143
1990,6816065,"pesaran, mh",5,31,"United Kingdom","Economics",190,27,16962,154,0.011,0.175
1991,6816065,"pesaran, mh",3,38,"United Kingdom","Economics",228,30,16962,154,0.013,0.195
1992,6816065,"pesaran, mh",7,37,"United Kingdom","Economics",265,37,16962,154,0.016,0.24
1993,6816065,"pesaran, mh",4,28,"United Kingdom","Economics",293,41,16962,154,0.017,0.266
1994,6816065,"pesaran, mh",7,52,"United Kingdom","Economics",345,48,16962,154,0.02,0.312
1995,6816065,"pesaran, mh",6,74,"United Kingdom","Economics",419,54,16962,154,0.025,0.351
1996,6816065,"pesaran, mh",3,47,"United Kingdom","Economics",466,57,16962,154,0.027,0.37
1997,6816065,"pesaran, mh",7,70,"United Kingdom","Economics",536,64,16962,154,0.032,0.416
1998,6816065,"pesaran, mh",2,72,"United Kingdom","Economics",608,66,16962,154,0.036,0.429
1999,6816065,"pesaran, mh",4,127,"United Kingdom","Economics",735,70,16962,154,0.043,0.455
2000,6816065,"pesaran, mh",7,149,"United Kingdom","Economics",884,77,16962,154,0.052,0.5
2001,6816065,"pesaran, mh",3,137,"United Kingdom","Economics",1021,80,16962,154,0.06,0.519
2002,6816065,"pesaran, mh",1,110,"United Kingdom","Economics",1131,81,16962,154,0.067,0.526
2003,6816065,"pesaran, mh",4,160,"United Kingdom","Economics",1291,85,16962,154,0.076,0.552
2004,6816065,"pesaran, mh",3,192,"United Kingdom","Economics",1483,88,16962,154,0.087,0.571
2005,6816065,"pesaran, mh",3,235,"United Kingdom","Economics",1718,91,16962,154,0.101,0.591
2006,6816065,"pesaran, mh",4,312,"United Kingdom","Economics",2030,95,16962,154,0.12,0.617
2007,6816065,"pesaran, mh",7,348,"United Kingdom","Economics",2378,102,16962,154,0.14,0.662
2008,6816065,"pesaran, mh",4,429,"United Kingdom","Economics",2807,106,16962,154,0.165,0.688
2009,6816065,"pesaran, mh",7,566,"United Kingdom","Economics",3373,113,16962,154,0.199,0.734
2010,6816065,"pesaran, mh",2,667,"United Kingdom","Economics",4040,115,16962,154,0.238,0.747
2011,6816065,"pesaran, mh",9,787,"United Kingdom","Economics",4827,124,16962,154,0.285,0.805
2012,6816065,"pesaran, mh",3,830,"United Kingdom","Economics",5657,127,16962,154,0.334,0.825
2013,6816065,"pesaran, mh",5,1178,"United Kingdom","Economics",6835,132,16962,154,0.403,0.857
2014,6816065,"pesaran, mh",4,1217,"United Kingdom","Economics",8052,136,16962,154,0.475,0.883
2015,6816065,"pesaran, mh",3,1274,"United Kingdom","Economics",9326,139,16962,154,0.55,0.903
2016,6816065,"pesaran, mh",5,1583,"United Kingdom","Economics",10909,144,16962,154,0.643,0.935
2017,6816065,"pesaran, mh",3,1684,"United Kingdom","Economics",12593,147,16962,154,0.742,0.955
2018,6816065,"pesaran, mh",5,1914,"United Kingdom","Economics",14507,152,16962,154,0.855,0.987
2019,6816065,"pesaran, mh",2,2455,"United Kingdom","Economics",16962,154,16962,154,1,1
1980,10849200,"johansen, s",0,0,"Denmark","Economics",0,0,13982,46,0,0
1981,10849200,"johansen, s",0,0,"Denmark","Economics",0,0,13982,46,0,0
1982,10849200,"johansen, s",0,0,"Denmark","Economics",0,0,13982,46,0,0
1983,10849200,"johansen, s",0,0,"Denmark","Economics",0,0,13982,46,0,0
1984,10849200,"johansen, s",0,0,"Denmark","Economics",0,0,13982,46,0,0
1985,10849200,"johansen, s",0,0,"Denmark","Economics",0,0,13982,46,0,0
1986,10849200,"johansen, s",0,0,"Denmark","Economics",0,0,13982,46,0,0
1987,10849200,"johansen, s",0,0,"Denmark","Economics",0,0,13982,46,0,0
1988,10849200,"johansen, s",1,0,"Denmark","Economics",0,1,13982,46,0,0.022
1989,10849200,"johansen, s",0,2,"Denmark","Economics",2,1,13982,46,0,0.022
1990,10849200,"johansen, s",1,22,"Denmark","Economics",24,2,13982,46,0.002,0.043
1991,10849200,"johansen, s",1,87,"Denmark","Economics",111,3,13982,46,0.008,0.065
1992,10849200,"johansen, s",5,158,"Denmark","Economics",269,8,13982,46,0.019,0.174
1993,10849200,"johansen, s",0,213,"Denmark","Economics",482,8,13982,46,0.034,0.174
1994,10849200,"johansen, s",1,276,"Denmark","Economics",758,9,13982,46,0.054,0.196
1995,10849200,"johansen, s",3,418,"Denmark","Economics",1176,12,13982,46,0.084,0.261
1996,10849200,"johansen, s",0,417,"Denmark","Economics",1593,12,13982,46,0.114,0.261
1997,10849200,"johansen, s",1,518,"Denmark","Economics",2111,13,13982,46,0.151,0.283
1998,10849200,"johansen, s",1,507,"Denmark","Economics",2618,14,13982,46,0.187,0.304
1999,10849200,"johansen, s",2,424,"Denmark","Economics",3042,16,13982,46,0.218,0.348
2000,10849200,"johansen, s",2,481,"Denmark","Economics",3523,18,13982,46,0.252,0.391
2001,10849200,"johansen, s",0,422,"Denmark","Economics",3945,18,13982,46,0.282,0.391
2002,10849200,"johansen, s",3,433,"Denmark","Economics",4378,21,13982,46,0.313,0.457
2003,10849200,"johansen, s",0,383,"Denmark","Economics",4761,21,13982,46,0.341,0.457
2004,10849200,"johansen, s",0,420,"Denmark","Economics",5181,21,13982,46,0.371,0.457
2005,10849200,"johansen, s",2,381,"Denmark","Economics",5562,23,13982,46,0.398,0.5
2006,10849200,"johansen, s",1,422,"Denmark","Economics",5984,24,13982,46,0.428,0.522
2007,10849200,"johansen, s",1,420,"Denmark","Economics",6404,25,13982,46,0.458,0.543
2008,10849200,"johansen, s",4,486,"Denmark","Economics",6890,29,13982,46,0.493,0.63
2009,10849200,"johansen, s",1,553,"Denmark","Economics",7443,30,13982,46,0.532,0.652
2010,10849200,"johansen, s",4,567,"Denmark","Economics",8010,34,13982,46,0.573,0.739
2011,10849200,"johansen, s",0,581,"Denmark","Economics",8591,34,13982,46,0.614,0.739
2012,10849200,"johansen, s",3,645,"Denmark","Economics",9236,37,13982,46,0.661,0.804
2013,10849200,"johansen, s",1,658,"Denmark","Economics",9894,38,13982,46,0.708,0.826
2014,10849200,"johansen, s",1,603,"Denmark","Economics",10497,39,13982,46,0.751,0.848
2015,10849200,"johansen, s",1,692,"Denmark","Economics",11189,40,13982,46,0.8,0.87
2016,10849200,"johansen, s",4,693,"Denmark","Economics",11882,44,13982,46,0.85,0.957
2017,10849200,"johansen, s",0,700,"Denmark","Economics",12582,44,13982,46,0.9,0.957
2018,10849200,"johansen, s",2,653,"Denmark","Economics",13235,46,13982,46,0.947,1
2019,10849200,"johansen, s",0,747,"Denmark","Economics",13982,46,13982,46,1,1
1980,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1981,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1982,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1983,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1984,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1985,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1986,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1987,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1988,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1989,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1990,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1991,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1992,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1993,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1994,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1995,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1996,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1997,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1998,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
1999,13283063,"araujo, mb",0,0,NA,NA,0,0,27941,178,0,0
2000,13283063,"araujo, mb",2,1,NA,NA,1,2,27941,178,0,0.011
2001,13283063,"araujo, mb",2,9,NA,NA,10,4,27941,178,0,0.022
2002,13283063,"araujo, mb",4,32,NA,NA,42,8,27941,178,0.002,0.045
2003,13283063,"araujo, mb",3,35,NA,NA,77,11,27941,178,0.003,0.062
2004,13283063,"araujo, mb",10,81,NA,NA,158,21,27941,178,0.006,0.118
2005,13283063,"araujo, mb",9,156,NA,NA,314,30,27941,178,0.011,0.169
2006,13283063,"araujo, mb",10,475,NA,NA,789,40,27941,178,0.028,0.225
2007,13283063,"araujo, mb",15,641,NA,NA,1430,55,27941,178,0.051,0.309
2008,13283063,"araujo, mb",14,928,NA,NA,2358,69,27941,178,0.084,0.388
2009,13283063,"araujo, mb",10,1225,NA,NA,3583,79,27941,178,0.128,0.444
2010,13283063,"araujo, mb",8,1568,NA,NA,5151,87,27941,178,0.184,0.489
2011,13283063,"araujo, mb",10,1803,NA,NA,6954,97,27941,178,0.249,0.545
2012,13283063,"araujo, mb",16,2031,NA,NA,8985,113,27941,178,0.322,0.635
2013,13283063,"araujo, mb",15,2458,NA,NA,11443,128,27941,178,0.41,0.719
2014,13283063,"araujo, mb",11,2534,NA,NA,13977,139,27941,178,0.5,0.781
2015,13283063,"araujo, mb",7,2481,NA,NA,16458,146,27941,178,0.589,0.82
2016,13283063,"araujo, mb",11,2648,NA,NA,19106,157,27941,178,0.684,0.882
2017,13283063,"araujo, mb",7,2661,NA,NA,21767,164,27941,178,0.779,0.921
2018,13283063,"araujo, mb",11,3015,NA,NA,24782,175,27941,178,0.887,0.983
2019,13283063,"araujo, mb",3,3159,NA,NA,27941,178,27941,178,1,1
1980,17568863,"phillips, pcb",2,0,"United Kingdom","Economics",0,2,21477,265,0,0.008
1981,17568863,"phillips, pcb",0,4,"United Kingdom","Economics",4,2,21477,265,0,0.008
1982,17568863,"phillips, pcb",4,5,"United Kingdom","Economics",9,6,21477,265,0,0.023
1983,17568863,"phillips, pcb",1,4,"United Kingdom","Economics",13,7,21477,265,0.001,0.026
1984,17568863,"phillips, pcb",3,12,"United Kingdom","Economics",25,10,21477,265,0.001,0.038
1985,17568863,"phillips, pcb",5,11,"United Kingdom","Economics",36,15,21477,265,0.002,0.057
1986,17568863,"phillips, pcb",4,14,"United Kingdom","Economics",50,19,21477,265,0.002,0.072
1987,17568863,"phillips, pcb",4,18,"United Kingdom","Economics",68,23,21477,265,0.003,0.087
1988,17568863,"phillips, pcb",14,82,"United Kingdom","Economics",150,37,21477,265,0.007,0.14
1989,17568863,"phillips, pcb",5,90,"United Kingdom","Economics",240,42,21477,265,0.011,0.158
1990,17568863,"phillips, pcb",3,143,"United Kingdom","Economics",383,45,21477,265,0.018,0.17
1991,17568863,"phillips, pcb",10,240,"United Kingdom","Economics",623,55,21477,265,0.029,0.208
1992,17568863,"phillips, pcb",7,301,"United Kingdom","Economics",924,62,21477,265,0.043,0.234
1993,17568863,"phillips, pcb",4,300,"United Kingdom","Economics",1224,66,21477,265,0.057,0.249
1994,17568863,"phillips, pcb",3,394,"United Kingdom","Economics",1618,69,21477,265,0.075,0.26
1995,17568863,"phillips, pcb",10,507,"United Kingdom","Economics",2125,79,21477,265,0.099,0.298
1996,17568863,"phillips, pcb",3,520,"United Kingdom","Economics",2645,82,21477,265,0.123,0.309
1997,17568863,"phillips, pcb",3,472,"United Kingdom","Economics",3117,85,21477,265,0.145,0.321
1998,17568863,"phillips, pcb",4,408,"United Kingdom","Economics",3525,89,21477,265,0.164,0.336
1999,17568863,"phillips, pcb",6,444,"United Kingdom","Economics",3969,95,21477,265,0.185,0.358
2000,17568863,"phillips, pcb",2,447,"United Kingdom","Economics",4416,97,21477,265,0.206,0.366
2001,17568863,"phillips, pcb",6,455,"United Kingdom","Economics",4871,103,21477,265,0.227,0.389
2002,17568863,"phillips, pcb",7,456,"United Kingdom","Economics",5327,110,21477,265,0.248,0.415
2003,17568863,"phillips, pcb",8,472,"United Kingdom","Economics",5799,118,21477,265,0.27,0.445
2004,17568863,"phillips, pcb",8,495,"United Kingdom","Economics",6294,126,21477,265,0.293,0.475
2005,17568863,"phillips, pcb",9,520,"United Kingdom","Economics",6814,135,21477,265,0.317,0.509
2006,17568863,"phillips, pcb",10,535,"United Kingdom","Economics",7349,145,21477,265,0.342,0.547
2007,17568863,"phillips, pcb",11,597,"United Kingdom","Economics",7946,156,21477,265,0.37,0.589
2008,17568863,"phillips, pcb",8,745,"United Kingdom","Economics",8691,164,21477,265,0.405,0.619
2009,17568863,"phillips, pcb",14,869,"United Kingdom","Economics",9560,178,21477,265,0.445,0.672
2010,17568863,"phillips, pcb",7,783,"United Kingdom","Economics",10343,185,21477,265,0.482,0.698
2011,17568863,"phillips, pcb",10,810,"United Kingdom","Economics",11153,195,21477,265,0.519,0.736
2012,17568863,"phillips, pcb",9,1084,"United Kingdom","Economics",12237,204,21477,265,0.57,0.77
2013,17568863,"phillips, pcb",4,1012,"United Kingdom","Economics",13249,208,21477,265,0.617,0.785
2014,17568863,"phillips, pcb",12,1322,"United Kingdom","Economics",14571,220,21477,265,0.678,0.83
2015,17568863,"phillips, pcb",13,1329,"United Kingdom","Economics",15900,233,21477,265,0.74,0.879
2016,17568863,"phillips, pcb",8,1300,"United Kingdom","Economics",17200,241,21477,265,0.801,0.909
2017,17568863,"phillips, pcb",10,1294,"United Kingdom","Economics",18494,251,21477,265,0.861,0.947
2018,17568863,"phillips, pcb",13,1387,"United Kingdom","Economics",19881,264,21477,265,0.926,0.996
2019,17568863,"phillips, pcb",1,1596,"United Kingdom","Economics",21477,265,21477,265,1,1
1980,21435142,"robinson, pm",0,0,"United Kingdom","Economics",0,0,5775,107,0,0
1981,21435142,"robinson, pm",0,0,"United Kingdom","Economics",0,0,5775,107,0,0
1982,21435142,"robinson, pm",2,2,"United Kingdom","Economics",2,2,5775,107,0,0.019
1983,21435142,"robinson, pm",0,0,"United Kingdom","Economics",2,2,5775,107,0,0.019
1984,21435142,"robinson, pm",1,9,"United Kingdom","Economics",11,3,5775,107,0.002,0.028
1985,21435142,"robinson, pm",1,1,"United Kingdom","Economics",12,4,5775,107,0.002,0.037
1986,21435142,"robinson, pm",3,3,"United Kingdom","Economics",15,7,5775,107,0.003,0.065
1987,21435142,"robinson, pm",2,7,"United Kingdom","Economics",22,9,5775,107,0.004,0.084
1988,21435142,"robinson, pm",3,13,"United Kingdom","Economics",35,12,5775,107,0.006,0.112
1989,21435142,"robinson, pm",2,26,"United Kingdom","Economics",61,14,5775,107,0.011,0.131
1990,21435142,"robinson, pm",0,19,"United Kingdom","Economics",80,14,5775,107,0.014,0.131
1991,21435142,"robinson, pm",5,20,"United Kingdom","Economics",100,19,5775,107,0.017,0.178
1992,21435142,"robinson, pm",0,28,"United Kingdom","Economics",128,19,5775,107,0.022,0.178
1993,21435142,"robinson, pm",2,30,"United Kingdom","Economics",158,21,5775,107,0.027,0.196
1994,21435142,"robinson, pm",5,42,"United Kingdom","Economics",200,26,5775,107,0.035,0.243
1995,21435142,"robinson, pm",5,60,"United Kingdom","Economics",260,31,5775,107,0.045,0.29
1996,21435142,"robinson, pm",6,88,"United Kingdom","Economics",348,37,5775,107,0.06,0.346
1997,21435142,"robinson, pm",3,80,"United Kingdom","Economics",428,40,5775,107,0.074,0.374
