yr,cluster_id,full_name,country,field,indicator,value
2009,13283063,"araujo, mb",NA,NA,cum_cit,3583
2010,13283063,"araujo, mb",NA,NA,cum_cit,5151
2011,13283063,"araujo, mb",NA,NA,cum_cit,6954
2012,13283063,"araujo, mb",NA,NA,cum_cit,8985
2013,13283063,"araujo, mb",NA,NA,cum_cit,11443
2014,13283063,"araujo, mb",NA,NA,cum_cit,13977
2015,13283063,"araujo, mb",NA,NA,cum_cit,16458
2016,13283063,"araujo, mb",NA,NA,cum_cit,19106
2017,13283063,"araujo, mb",NA,NA,cum_cit,21767
2018,13283063,"araujo, mb",NA,NA,cum_cit,24782
2019,13283063,"araujo, mb",NA,NA,cum_cit,27941
1980,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,0
1981,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,4
1982,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,9
1983,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,13
1984,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,25
1985,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,36
1986,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,50
1987,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,68
1988,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,150
1989,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,240
1990,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,383
1991,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,623
1992,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,924
1993,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,1224
1994,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,1618
1995,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,2125
1996,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,2645
1997,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,3117
1998,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,3525
1999,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,3969
2000,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,4416
2001,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,4871
2002,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,5327
2003,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,5799
2004,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,6294
2005,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,6814
2006,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,7349
2007,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,7946
2008,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,8691
2009,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,9560
2010,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,10343
2011,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,11153
2012,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,12237
2013,17568863,"phillips, pcb",United Kingdom,Economics,cum_cit,13249
